userid,InboundCall,IsDealSeeker,IsDirtLover,IsDreamer,IsGreen,IsResearcher,TradeInValueGenerated,InboundCallCount,TotalInboundCallLength,BureauIncome,CreditScore1,CreditScore2,FraudScore,Income,MedianVehicleFuelEcon,MedianVehiclePrice,TradeInValueAmount,LeadSource,AgeCategory,accountcreationdatetime,PhoneNumber_hashed,MedianVehicleMileage
1231,1,0,0,0,0,0,1,0,350,50520,639,733,341,58809,26.4,26600,6875,ThirdPartyListing,45-55,2018-04-28 08:04:00,FB009283D37CE7B15B311E3A1838D54F90D60A709B517AF276813C7D76AE52E6,39964
1232,0,0,0,0,0,0,0,0,264,36486,667,757,360,43787,25.9,21639,7683,ThirdPartyListing,18-35,2018-01-16 15:27:00,5B54B939BB18451A1C20CF803CA4E0FFC66BAFC7C4FB27488AF69F6454DCAAA8,40113
1233,0,0,1,0,0,1,1,0,431,58508,571,546,321,56546,37.4,26556,6255,Website,65+,2018-02-06 23:19:00,6964F911E8552FCD529813902D2541EF9DD2144984FEC655E8094196DE33F900,38805
1234,1,0,0,0,0,0,0,0,305,56104,648,641,414,36949,18.6,25515,6783,Website,18-35,2018-02-08 16:44:00,6997DE16F8EE0F388A340760B919B29AF5FB9D42D6DB1AEEB05EE77178E080E2,36404
1235,0,0,0,0,0,0,0,0,316,79371,652,687,337,72018,29.3,24960,12782,ThirdPartyListing,45-55,2018-03-31 22:04:00,2D953B34E1F3FFF2E9F4D1DB5A3654F5200B0F16733CFC38E9F58373A056C07C,41000
1236,0,0,1,0,0,1,0,2,186,50033,630,614,246,58152,34.8,19767,8506,Website,55-65,2018-04-11 06:44:00,ED71A12881E75407C77F8AFCD4726D5276AE7396FE09A22C10CDE2A37FD589C8,33815
1237,1,0,1,0,0,0,1,1,296,44371,689,724,364,38249,33.1,12143,8820,Website,45-55,2018-04-05 01:41:00,F24AB73F1106151A10DB7C2A4D561A222F80BBE13071C0576085B65341E64967,44817
1238,0,0,0,0,0,0,1,0,302,39473,717,733,436,58795,32.9,25990,7069,ThirdPartyListing,55-65,2018-01-23 11:12:00,A0F2CA6338981BA230E3615F8FA7D97058A411068B742A87AD93E4AD3DA8B32C,38747
1239,0,0,0,0,0,0,0,0,409,52310,615,643,288,60322,28.5,29260,7772,Website,18-35,2018-01-25 11:44:00,34592E30E944BFE692AFA5450F90508A27A46F84ACCF062EBEB9FA01BD491DA6,37056
1240,0,0,0,0,0,0,1,0,330,59786,629,645,260,69729,17.5,20283,7115,Website,45-55,2018-03-26 14:52:00,7B464247C4603F3BDE612037685CA06EA862E323EF9D04D7F2B85F7632DD4A1F,38810
1241,0,0,0,1,0,0,0,1,165,43087,646,564,531,41149,19.7,24025,7551,Website,55-65,2018-01-29 06:56:00,98B2781CDB1CDC0B8B17371FBC82D8872E828871569CA1D61DD7F7D3535A82F4,43936
1242,0,0,0,1,0,0,0,0,224,43275,617,623,224,60165,23,20992,5897,Website,35-45,2018-02-14 04:52:00,D1FB1A870DD8215F8B586AA41340C6F4374B8A18C67AA54F8AC9A59AA20CD637,37421
1243,1,0,0,0,0,0,0,0,377,59614,656,680,376,56123,16.7,25103,10819,Website,45-55,2018-02-11 17:23:00,6173DB28C6D27D2C8C521AC0D990A76473FF3D3EFDBECFFE46EBA90C434F986F,49706
1244,0,0,0,0,0,1,0,1,271,41281,574,578,442,20324,31.9,26714,9440,ThirdPartyFinancing,55-65,2018-04-29 16:41:00,0D93EB789243D6A33A6A83CFC2437D8F153255D54A941080F0B585B971D7C2BD,26698
1245,0,0,0,0,1,0,1,0,258,22862,609,607,333,36053,17.2,24631,5366,ThirdPartyFinancing,18-35,2018-01-25 12:19:00,,37578
1246,1,0,1,0,0,0,0,0,349,58692,664,711,403,58663,24.7,26471,10892,ThirdPartyListing,45-55,2018-03-22 05:21:00,9985F10EF43175D9CE2E0FA8DB3EDC6521700112C01374F3DB08FE65DDFB3E82,36798
1247,1,0,0,0,0,0,1,0,302,67056,613,636,420,80572,11.7,25319,12462,Website,45-55,2018-03-24 09:30:00,D7273C5F651B55FECAA87931E75E69FAFD7E4B7F324173866513BEF079C53B69,52111
1248,0,0,0,0,0,0,0,0,194,64844,705,745,293,40851,23.8,29203,10012,Website,35-45,2018-04-18 18:30:00,8DF29B860D9802AE38726BD1EE21A5A6C976B2A4ACB731778FFE8FE95B5DCC4E,51907
1249,0,0,0,0,0,0,0,0,271,54840,741,803,312,61348,22.6,18332,10082,ThirdPartyListing,35-45,2018-02-07 04:44:00,,47128
1250,0,0,0,0,0,0,1,1,342,44824,764,864,425,47792,20.1,23110,9253,Website,18-35,2018-02-23 23:51:00,277576EDCC3AE21CF1F1449308A75630FD811E38AEA3CE73F6CBC015F467B668,39081
1251,0,0,0,0,0,0,1,0,404,56340,608,629,307,58504,34.4,27403,11007,Website,55-65,2018-03-10 18:45:00,,27355
1252,0,0,1,0,0,0,0,0,215,48428,683,707,339,47746,20.9,19741,7522,Website,18-35,2018-01-22 21:29:00,D8DC0611DF30AE27E59925F4D4BF4AB80795C5488484DDC849EC94F44CA79E7B,39888
1461,0,0,1,0,0,0,1,0,296,50682,548,561,280,31850,34.1,20676,7094,Website,18-35,2018-02-08 23:07:00,8B0618845BB9DEB64A3CAFADA06E2CC01073BB4A95EF88172B6520E9BE705333,41251
1462,0,0,0,0,0,0,0,0,210,54760,729,698,303,63679,32.6,26601,11012,Website,55-65,2018-04-02 12:45:00,77B3BF386E9438CB74E8F27CB307B40931523A280ADE8B1A19CE30C08051F5F1,41262
1463,0,0,1,0,0,0,1,0,443,54854,679,725,299,65055,18.2,23789,13666,ThirdPartyListing,35-45,2018-01-12 14:40:00,5E62AFB26E3B33CB5D6B6FF30DA20581973ACE606FFA5C9FFAE794985FA19522,49201
1464,0,0,0,0,0,1,1,0,244,63968,699,739,327,44402,24.9,22449,13114,Website,18-35,2018-03-07 00:27:00,6B26DA0964A2C8D33D3DB89AF3137D8D38EAE87ED7323587AB140EA7F31122AF,42718
1465,0,0,0,0,0,0,1,0,329,28938,731,719,261,24396,20,19532,9260,Website,18-35,2018-05-01 23:03:00,773D3D94FFBDF48F7C9F6F9B6F3BAD11433B7C527031F161181F66D66A4DEC30,47651
1466,0,0,0,0,0,0,0,0,365,37954,623,657,210,28729,21.6,25004,9746,ThirdPartyListing,18-35,2018-02-10 23:13:00,,37274
1467,0,0,0,0,0,0,0,0,304,56661,681,787,389,50421,22,23876,5102,Website,45-55,2018-02-08 07:51:00,0EB405648DC667CF0916A1A87C0F505C188A7BA08C9E6C3F5FE6FC406ABC87F2,40133
1468,0,0,1,0,0,0,1,1,233,50939,635,804,265,64647,17.8,23866,6877,ThirdPartyListing,18-35,2018-03-03 11:04:00,92F3BE60065D8A0A809A7111ABBF682503EC0ECE6FE9FAF7A5EF02C8DB409347,38822
1469,0,0,1,0,0,0,0,0,288,48392,704,719,496,47239,17.9,16933,8407,Website,45-55,2018-02-08 09:02:00,F38F184DE96AC8E6E037AD0C81FCD997187E244351ED5BDDAB1D2F26005DEDDB,23153
1470,0,0,1,1,0,0,0,0,359,73162,691,669,400,73065,24.6,26259,9994,Website,35-45,2018-02-28 10:53:00,5503EB29E8A0137ABC37BD6F49EDE810760814196BFB8AC09DF1B46075FFBF5A,48971
1471,1,0,0,0,0,1,1,0,317,46392,666,711,356,44589,29.9,23070,10147,Website,45-55,2018-03-09 23:21:00,1727DA942434808C9878D1C21C2FB8158D273C823F9A05848576181BF04396AD,31428
1472,0,1,0,0,1,0,1,1,390,48521,604,680,388,56907,30.2,30238,8573,ThirdPartyFinancing,35-45,2018-01-05 05:11:00,,51903
1473,0,0,0,0,0,0,0,0,346,51124,667,631,402,53105,31.2,27716,10242,ThirdPartyListing,55-65,2018-01-18 03:31:00,FF543BED046157A623D26682EA5A5997D69DCD91C04B055237E310BA899598D0,36064
1474,0,0,0,0,0,0,0,0,433,57576,641,683,314,60493,26,26587,6390,ThirdPartyListing,55-65,2018-02-06 16:16:00,,40002
1475,0,1,0,0,0,0,0,0,171,61218,603,631,391,79988,29.2,24877,10091,ThirdPartyListing,18-35,2018-05-09 02:35:00,A733097C8F7AB31C58557BCAEA039482B2ADF271DB69436027332A05D35D7D8F,29543
1476,0,0,0,0,0,0,0,0,200,30756,679,696,517,47079,28,26225,5338,Website,35-45,2018-01-29 22:15:00,2E180B382774E2059A0C24CF12E57A966B26041548FC3A27E1310B6FD9C5BA47,46948
1477,0,0,0,0,0,0,0,0,423,43229,708,714,309,34584,35.1,25615,6283,Website,18-35,2018-03-08 13:45:00,,32292
1478,0,0,0,0,0,0,0,0,303,56121,663,679,310,52094,33.7,28108,7797,Website,55-65,2018-02-09 08:14:00,863D99BBC20C98C40E439420729C0062A49D401BCABABD67906B8C4F5E668812,39019
1479,1,0,0,0,0,0,0,0,363,41562,592,614,343,50732,22,20314,8417,ThirdPartyListing,45-55,2018-02-20 17:35:00,F39ED8C71F6001C27C0800991791684862A8B8592C1B2F118DD2AC0C7C417085,34081
1480,0,0,1,0,0,1,0,0,410,39794,643,615,183,35006,28.9,16923,9509,Website,45-55,2018-03-19 20:45:00,7CEB242722CD62FF6E376072928ACDF085E72AE350AB3EBBAC8313D998635025,44736
1481,0,0,1,0,0,0,1,0,249,70634,644,643,450,90386,17.2,23090,9908,ThirdPartyListing,18-35,2018-01-06 00:44:00,8E91F5032C728C7C04B4679D29F0F88E279935A3159224CB526066511C4EB498,44425
1482,0,0,0,0,0,0,1,0,247,55202,703,712,369,58876,36,23774,6622,ThirdPartyListing,45-55,2018-02-10 10:54:00,,40323
1483,0,0,0,1,0,1,0,1,283,64122,544,505,211,64091,31.5,32350,9062,Website,55-65,2018-04-17 20:31:00,C280011075202E4503565A98B7339D69C7887FAD759485D3A2DEF9B37F174469,36061
1484,0,0,0,0,0,1,0,0,369,40025,583,549,381,34453,28.5,33401,6434,Website,18-35,2018-01-30 23:04:00,,49452
1485,0,0,0,1,0,0,0,0,175,63703,589,562,593,87760,27.7,30330,5836,Website,55-65,2018-04-11 02:00:00,AB160234CE13628CFB1C63038AF72CBA8C528BB290CBB4A1153B97C56BA69214,40980
1486,0,0,0,0,0,0,1,0,271,54003,656,700,452,56439,14.9,20889,7109,Website,18-35,2018-02-16 13:13:00,D784DF6264667554453D060E32D9C89A061F630D215604BB97BB6849B466ECC5,37659
1487,1,0,1,0,0,0,1,0,357,51049,692,698,250,69629,31.7,20576,8902,Website,45-55,2018-03-08 07:13:00,39101B64DFABEE1CFD2896467E12B211411D8B76FE70EA8828BAE48605427F7A,31711
1488,0,0,0,0,0,0,0,0,236,48701,535,559,277,48833,28.8,16101,6315,Website,35-45,2018-05-06 16:56:00,3CB32B23C18E0A76B6A23D9D3C7B9317953FCE4E6189FA52F3DF4AEED6F2127F,38346
1489,0,0,1,0,0,0,0,0,226,44880,664,599,343,50748,28,21916,9985,ThirdPartyListing,18-35,2018-01-19 13:51:00,,33019
1490,0,0,0,0,0,0,1,0,315,29400,658,616,480,57685,36.3,21817,10911,Website,65+,2018-05-02 09:56:00,C4066F641D733BB7B5367873C0C2E3181B366908D0EEAEBEA69B94A63C29BE16,41614
1491,0,0,1,0,0,0,0,2,258,40500,643,704,381,41807,22.8,17709,13720,ThirdPartyListing,65+,2018-03-16 13:20:00,,46130
1492,0,0,0,0,0,0,0,0,190,51655,673,654,360,61066,32.7,29193,8695,Website,65+,2018-01-25 02:43:00,31A3DDF18C773EF28233F7054D50C81557F4B9CB2758826A5CC79A257A4D2ED4,35682
1493,0,0,0,0,0,0,1,0,346,62714,658,591,385,72896,28.4,24771,8044,ThirdPartyFinancing,18-35,2018-03-25 10:20:00,213488EB879007F6624C5A3000A886A8B558699EA81877125A1C8998ED7A6986,24752
1494,0,0,0,0,1,0,0,0,227,51941,576,559,207,73690,27.2,27018,7778,ThirdPartyListing,18-35,2018-01-14 07:04:00,,32555
1495,0,0,0,0,1,0,1,1,259,62834,602,571,499,57246,23.6,26824,8403,ThirdPartyListing,18-35,2018-02-07 09:05:00,06B286980E0D60F0E4C1CF7734C4A3C50D637C875EE32439601F2F242EDFD78B,37722
1496,1,0,0,0,0,0,1,0,136,51650,690,695,192,56714,27.8,20632,7015,ThirdPartyListing,55-65,2018-02-15 11:36:00,E94AEF0279163C23F632413E36B1E7E976DE80EA43A95175CC81664A321D4EA1,43420
1497,0,0,0,0,0,0,1,0,191,40774,596,681,224,50201,26.9,30605,6410,Website,18-35,2018-01-26 08:12:00,0D47719DD23EB1C36933EF7E756EECC057851735655AC4ABA2687B8D53B40DC7,25484
1498,1,0,1,0,0,1,0,0,423,46932,647,629,345,32173,18.8,24488,10628,Website,35-45,2018-02-28 05:44:00,9D889E2F24D020DEEB45D1680EF08273BFDB33AF39EAD8CB896020212F884BA8,45340
1499,0,1,0,0,0,1,1,1,265,36528,793,823,392,44577,33.1,28835,8922,Website,55-65,2018-05-03 23:37:00,4DE98CF459E97011BF79B6389D145396507B510BFC1B2092D7514C6AD1EF7902,47286
1500,0,1,0,0,0,1,1,0,310,46372,672,715,398,46380,32.1,37722,9307,Website,35-45,2018-04-19 22:39:00,E53AC8800DAFFEA8709EF5AEA9910C1E9F19335FC6DFC27E919A6F4C27ED5687,40371
1501,0,0,1,0,0,0,1,0,264,52314,673,653,478,54225,21.7,36311,11786,Website,18-35,2018-01-16 08:18:00,38F61DF59F18AD48D3AFF59E02F4920BDAF25C7F52CE2339871C2023E09DE703,33511
1502,0,0,0,0,1,1,0,1,361,42018,715,731,338,45256,25,30957,7856,Website,45-55,2018-01-09 16:03:00,8AF4871B6D4E597F5545724B84963E8B3B9D7B77F65036D40D0F7E09EF92DBCC,36970
1503,1,0,0,0,0,1,1,0,318,34175,636,631,421,40934,25.3,16938,8168,Website,45-55,2018-03-15 08:14:00,4C25CE6298B9163ECEB6DEA2877EE8285E9B29697F604CA6851659D5CB0E926D,35332
1504,0,0,0,0,0,0,0,0,257,39978,571,579,208,51594,30.4,22128,9735,Website,18-35,2018-03-26 20:39:00,E34407D9313C10C9D56E57E09D0161E5C9678B2E568F0A3BE27EFC39F7CD2959,41970
1505,0,0,0,0,0,1,0,0,385,37892,622,609,303,29662,33.7,23806,8897,Website,18-35,2018-01-31 02:20:00,71CA9DF0B30F7F7162EA215FD326D8D6FDDE55537ED4BE1BF9DFAB7F9DC7BFEC,39213
1506,0,1,0,0,0,0,0,0,318,38424,643,628,470,65268,27.1,28654,10008,Website,18-35,2018-04-12 18:57:00,CFF57DC9C6FF3B905D7E3CD7821F1413DB44B7E97A12BD325B094BEDDAEBA654,29247
1507,1,0,0,0,0,1,1,0,344,49165,710,693,283,38773,30.2,21703,8489,ThirdPartyFinancing,18-35,2018-03-07 12:20:00,D2C6941149261FDEE5041BA121B86D9BC0F972389D1E8B6DB6995A4EDC75368D,31969
1508,0,0,0,0,0,1,1,0,238,43697,719,763,274,50137,27.3,25009,11834,Website,45-55,2018-02-07 01:41:00,2828C7C8875DEC1026361B1B9956535AD93AE82281AC577E430FB016A62314F5,43971
1509,0,0,1,0,0,0,0,0,334,47266,632,623,309,39527,26.5,21018,4677,Website,18-35,2018-03-26 12:43:00,C5F7180F746784DCA2BCBE7E7EDF6D8E7D613E4F00922AEA55DFAEFBEA8DC859,40066
1510,1,1,0,0,0,0,0,1,167,73320,661,655,425,77488,29.3,28067,11498,Website,35-45,2018-03-09 18:44:00,4D0C3FA63D41AEBC32AF09466C42D87109C097C8BCAE619776AA430603E6FF2C,35458
1511,0,1,0,0,1,0,0,0,387,67005,814,825,406,70792,32.1,23574,10136,Website,65+,2018-04-18 23:54:00,661E3D40A1F8727A6EA9823D2DC892B4F242616E8D62C4270279D1F8BD952970,37042
1512,0,0,0,0,0,0,1,0,348,55142,741,767,271,55085,31.7,23580,10341,Website,45-55,2018-03-05 22:56:00,DE598C2FB38EC7EDF9EF608718FB5FB65D4BC34C946067DE01FB95396AED7629,38589
1513,1,1,0,0,0,0,0,1,188,50164,632,657,288,47398,31.3,19654,12140,Website,35-45,2018-03-29 04:47:00,,32937
1514,0,1,0,0,0,0,0,0,351,55682,668,677,374,61665,18.4,25647,4493,ThirdPartyListing,55-65,2018-04-06 05:36:00,E368D99621D679CC01247CB1076BF8D6E25405012E438DE36E3894EE77B4BC21,37473
1515,0,0,0,0,0,0,1,0,555,53977,623,650,229,57176,32.1,33861,6376,ThirdPartyListing,45-55,2018-04-12 14:54:00,795B5DE49F83F9965EFEAC5F0DA4A6C8B75D724AA7E0AB1BF93AF4BDB0B1AA65,48174
1516,0,0,0,0,0,0,0,0,327,53075,624,722,164,72320,39,16474,8575,Website,45-55,2018-03-20 23:00:00,,50848
1517,0,0,1,1,0,1,0,0,284,64513,645,650,440,63756,27.8,28212,4893,Website,55-65,2018-04-26 10:03:00,5C867B663087A434D112F17B65CA261E8F539C3E982E56EAE0BF3969931CF022,36163
1518,1,0,0,1,0,0,1,1,396,50898,628,598,396,66054,26.8,16144,8560,ThirdPartyListing,45-55,2018-01-02 17:11:00,95A05D4B294C6EE5730F9D0F1F8FFD14268C64680827E66DB8573B8B01268FFA,32967
1519,0,1,0,0,0,0,0,0,340,61665,599,639,194,46012,23.5,23710,10277,ThirdPartyListing,35-45,2018-03-21 01:33:00,,31425
1520,1,0,0,0,0,0,1,1,323,45654,663,571,371,85309,20.9,23294,11250,Website,65+,2018-02-14 07:58:00,E51D7CD43DD5C9FED20D2AD0844C4098535F4812E97EC1978645D6C92F502F8B,39504
1521,0,0,0,0,0,0,0,0,263,60996,641,673,308,56840,17.4,29277,7799,Website,45-55,2018-03-20 11:32:00,2876AA36EAC8F8D7DB2923408461894FB80AB88CC81E87510689110D6094641F,41472
1522,0,0,0,0,0,0,0,0,420,66463,650,747,402,71180,12.2,19352,8043,Website,35-45,2018-04-01 21:18:00,13A74A8E1972C3D93D33780842FC09DD344DC5959A10624DB57AF8C76614BF32,29209
1523,0,1,0,0,0,0,0,0,255,54861,604,577,370,29481,20,22534,9543,Website,35-45,2018-02-09 09:06:00,D87C9D3AFEAE74D6A410031550519E6D598AD05A19865F22A298DA77A52875D7,35125
1524,0,0,0,1,0,0,1,2,320,69697,657,640,207,68375,24.8,21212,13112,Website,35-45,2018-03-23 20:28:00,30283B0F25BF16B0770599F109EB18C84094222DB44C060E45AA569CE2154311,55094
1525,0,0,0,0,0,1,0,0,272,51988,664,641,453,56666,24.4,22594,6803,Website,18-35,2018-01-31 00:54:00,,50969
1526,0,0,0,0,0,0,1,0,471,41010,629,660,339,26568,27.1,17421,5061,Website,55-65,2018-02-18 07:27:00,99EE9EA596E9B7164B8567706446C6923ABB08DC39953C14C9458BFC453EEA9E,35766
1527,0,0,0,0,0,0,1,0,372,60740,628,711,526,82361,36.6,21129,9426,ThirdPartyListing,45-55,2018-03-25 23:06:00,97F01FC656900D62A68EF6181EBAFC87B2793672FC27192D3FEE94688F3FAE98,39486
1528,0,0,0,0,0,0,1,0,272,47664,624,611,296,29713,33.4,17912,5682,Website,35-45,2018-03-06 22:04:00,,38517
1529,0,1,0,0,0,0,1,0,260,47477,672,670,451,32583,23.5,20284,7755,Website,55-65,2018-01-09 19:50:00,DCAF75DB47CD4AD8C7700050E15B9CE32AD8C464B9EB6C7136F05C18C839EE5F,34346
1530,0,0,0,0,0,0,1,0,372,40781,729,717,540,38757,17.9,16911,6352,Website,35-45,2018-04-15 14:24:00,A218C8C27547B07C819A9CF96262310017AEB722AD65671E94A6B75C408FCEA3,45087
1531,0,0,0,0,0,1,0,0,351,68973,652,584,264,71100,23.4,19296,9227,Website,55-65,2018-02-11 13:57:00,D8D49389F9A09C9309A448B6BAF65033378E1DF7331BE0863A48E68C731822F9,32841
1532,0,0,0,0,0,0,0,1,321,46892,645,607,301,58196,32.5,24312,6619,Website,55-65,2018-01-25 23:27:00,E8BDCEBCD32E811D29A3CCD04BC287839875FCD36E605FD8C34BCB17D65C48C0,40711
1533,0,0,1,0,0,0,1,0,224,45638,640,665,183,62408,28.2,27219,9618,Website,18-35,2018-02-15 19:34:00,DA385AAF54162ABBFD70D3C48EF5A42BF1B7068422849F9ED087806FBAF74D01,43876
1534,0,0,0,0,0,0,1,0,243,65930,653,682,244,72639,28.6,24248,7519,ThirdPartyFinancing,18-35,2018-05-03 16:50:00,C2A83D8E9A9EA98688163EDE358E3961292DD92CBE7083703BF07E8A58DC2691,29920
1535,0,0,0,0,0,0,0,0,292,51850,706,756,351,50684,26.6,30820,8585,ThirdPartyListing,18-35,2018-03-23 15:01:00,D07CA0051688CE579B8070D8C7DD2D62A37425108D1BDBB05FDF64F1185D3CDD,43983
1536,0,0,0,0,0,0,1,0,347,58443,691,706,450,58452,22.9,22522,7983,ThirdPartyListing,35-45,2018-04-27 23:31:00,C11847FD7BA6577942F3DA416A67C230801B51484AD246A7BE707A2C7593E61F,45805
1537,0,0,0,0,0,0,1,0,325,69963,704,854,410,76273,23.2,18127,6944,ThirdPartyListing,65+,2018-02-12 20:59:00,B11E381F3731ACEF35317BAA08BD414B846E8BCF257FB673ABC15D72BE074ED1,36205
1538,0,0,0,0,0,0,1,0,263,37171,726,693,398,37194,16.9,26804,8565,ThirdPartyListing,18-35,2018-02-23 18:41:00,27FC359A4E3C17F931316736328E360FAB0325673D569BF72168CA8403A66D29,38540
1539,1,1,0,0,0,0,1,0,354,56862,636,638,303,54999,35.2,23282,9173,Website,18-35,2018-04-09 03:23:00,D2203F80BA64D111A0A1347EC799F5F0F47215A8A281B0793CC4717263412D16,35946
1540,1,0,0,0,0,1,1,0,207,70327,694,689,313,76396,22.6,21099,8920,Website,18-35,2018-02-25 22:15:00,AE2F50C3E966EC142B3A02504D5206D412B0A3C69E8411883DE4955CB4440091,36678
1541,0,0,0,0,0,0,0,0,268,47500,672,776,409,59261,32.1,31230,7520,Website,18-35,2018-04-17 13:01:00,8FF8B09CDFDBCC1781F08AF4EBAC9C1EF15709C94D765F35F5E8322633282532,50447
1542,0,0,1,1,0,0,0,1,229,55149,678,674,371,55112,31.5,21764,5887,Website,18-35,2018-03-07 04:01:00,F59DD34137CB781B91E1582F9D387BA3FB107361223419C072885F7D9AA258CA,33227
1543,0,0,1,0,0,1,1,0,346,37008,733,729,319,37005,29.3,29548,4194,ThirdPartyListing,65+,2018-05-10 23:57:00,5F03E8ABEAE63705155CFD09029427485DB6CA0C11B3862705F4251883F850B4,29236
1544,0,0,0,0,0,1,1,0,245,35302,597,627,357,42474,20,26106,5868,ThirdPartyListing,55-65,2018-04-07 08:40:00,EF29513025B1F32A3DE360ECF87153BB88A05CABAC3C80A22A8C92903A0CDC13,49681
1545,0,0,0,0,0,1,1,0,439,37137,614,595,292,35735,30.2,29579,10074,Website,65+,2018-01-09 02:59:00,28B4D0CD12C078AA239625B44FB6CA4A6C6D27BACF216E66BB6AE3E6DDD38412,44529
1546,0,0,0,0,0,0,0,0,358,55118,757,740,341,56603,25.9,35921,10258,ThirdPartyListing,35-45,2018-02-24 19:42:00,599639911BF232E1211CB49A7C78B41B5C927A223B58843FC678BBB9DCD017DE,46558
1547,0,0,0,0,0,0,0,0,334,56614,646,710,322,38070,32.9,23056,9212,Website,65+,2018-04-29 11:37:00,29EDA80513E4B2DF45FD2DA45A0F92BE3A7C97163CA77E8F47258D79616E31DB,40591
1548,0,0,0,1,0,1,1,0,333,38616,666,728,212,33307,26.4,22887,9715,ThirdPartyListing,45-55,2018-04-20 08:27:00,2AA674A219FF03102DFD650FCC87D587BB7EE0415F22254EE0B81EE321326F0E,38797
1549,0,0,0,0,0,0,1,0,245,48669,688,671,250,42739,23.9,15516,9350,ThirdPartyListing,45-55,2018-01-08 10:44:00,B64D280DC0D145B31B3BC43A377DF26AB723DEDE8D494716E97D3BC0FF9261B7,34641
1550,0,1,1,0,0,0,1,1,251,47720,589,573,399,32129,17.5,21650,7831,Website,18-35,2018-03-26 00:41:00,5307582BCFC22872BD0622EB2035C95C0047F1669AD39D824CCBA344113BBA83,41542
1551,0,0,0,0,0,0,0,0,366,49892,605,610,267,49677,26.1,25075,15260,Website,18-35,2018-02-04 22:05:00,221711347F03E138066D60B9B6896BE4604380A5F36ACD60AB8E2BC13F5330EA,39122
1552,0,0,0,0,0,0,1,1,260,54936,600,692,341,46258,30.3,23733,5571,Website,18-35,2018-01-22 12:30:00,AC8EBE02949A2E838A1E92A1F85E1E0AA77DD670E53E78A7BC9AA2A7723CB8F9,31722
1553,0,0,0,0,0,1,1,1,406,55621,698,702,328,71441,19.2,17612,7916,Website,18-35,2018-05-07 15:28:00,558A1BC7601BBF6FC51E93D01747EE0449E577D646465CD7C506F8EBC1593CFD,36360
1554,0,0,0,0,0,1,0,0,250,58636,647,720,431,79207,30.1,19600,5343,ThirdPartyListing,35-45,2018-01-11 05:59:00,DD5BCFBD3F41F82EA21F13BFE2D600C0810D9CB38757985DBAFB9768F1C696AF,50657
1555,0,0,1,0,1,0,0,0,274,83615,522,538,475,99151,31.8,24002,12343,ThirdPartyFinancing,55-65,2018-03-23 05:56:00,87052D34BBF8D03C9E1599AA3025E903C8DF7E48254FEF539C07F61286267752,31869
1556,0,0,0,1,0,1,0,1,265,58244,613,644,416,43347,24.1,23957,6534,Website,35-45,2018-01-16 12:55:00,3E6F72D8516F63CF03FDEFDE56861E1AA5463A79A80C0E803CA1CD1D99816E66,31829
1557,0,0,0,0,1,0,0,0,359,73435,695,733,336,48191,20.5,22108,13701,ThirdPartyListing,18-35,2018-03-29 03:21:00,,32287
1558,0,0,0,1,1,1,0,0,262,48739,618,681,272,35838,34.5,25871,10038,ThirdPartyListing,45-55,2018-04-28 12:00:00,0E76D00B1E8CE6E64740F6E225EE2135EA656CC7ED71A96B8A9056B7484CE65E,46464
1559,0,1,0,0,0,0,1,0,197,49400,718,762,415,49903,22.6,28269,5339,Website,35-45,2018-03-12 23:45:00,A351E69C741F45B287B7EE280D3F5998E095AFC5CF0D606EE676684DCAFFBDED,41023
1560,0,0,1,0,0,0,1,0,373,64675,604,601,371,61800,30.3,25847,4006,Website,18-35,2018-03-12 19:07:00,DF98477EEE0A4A021C3DAF24469074DCB18319B53CEF44513A2023670E3EDD38,35195
1561,0,0,1,0,1,1,1,0,156,51358,609,619,311,64466,24.6,23891,6659,Website,18-35,2018-04-28 09:09:00,23AE1260197E04BCDA6AF8D25A848A18226F94C89E67359A59B7D5D704AE76A5,45329
1562,0,0,1,0,0,1,0,0,270,60406,685,697,332,49531,11.3,18238,5846,Website,35-45,2018-02-06 19:51:00,85F8FFC822C67B17D37B5A76501D9C079E652E3BE6429C84CE333A72E88262A2,28687
1563,0,0,0,1,0,1,0,0,250,45282,656,644,456,48014,21.1,24145,9625,Website,35-45,2018-04-13 04:35:00,834F3246D98BC1C7788536AABBCE01ED59814132A48AEC050B41944DC61A732B,39196
1564,0,0,0,0,0,0,0,0,261,68504,635,580,410,65911,21.9,24576,7701,Website,55-65,2018-03-09 13:44:00,,46288
1565,0,0,1,0,0,1,0,0,179,40151,573,572,365,66488,34.5,15543,4409,ThirdPartyListing,18-35,2018-04-14 01:51:00,19DFA4B1DD445AAF6A1A4BB9B3DE28939F711E1E8E41F90077DECB2082698C05,47108
1566,0,0,0,0,0,0,1,0,230,45062,613,665,301,41607,31.8,34414,11382,ThirdPartyFinancing,45-55,2018-02-12 21:05:00,8D48669DF491A9B95D7C881F336AC2AD197492AA4EC789A94B1763A41A7961BA,47519
1567,0,0,0,0,0,0,0,0,369,50763,645,728,324,25440,27.6,18646,3641,Website,18-35,2018-02-04 17:36:00,FE6D519CA5F0F1B9A87289CFE9086959F2C4B40F381604B63AA5CEB0651143AE,46006
1568,0,0,0,0,0,0,1,0,320,56387,698,692,276,70103,28.8,26906,3948,Website,45-55,2018-04-24 10:49:00,,35617
